rna	7	ENSP00000265965
rna	6	ENSP00000257637
rna	8	ENSP00000357452
rna	8	ENSP00000303058
rna	3	ENSP00000325660
rna	1	ENSP00000266674
rna	2	ENSP00000289893
rna	3	ENSP00000355893
rna	3	ENSP00000343488
rna	1	ENSP00000377422
rna	8	ENSP00000355050
rna	8	ENSP00000339090
rna	8	ENSP00000336790
rna	1	ENSP00000252318
rna	1	ENSP00000351363
rna	1	ENSP00000264246
rna	1	ENSP00000396771
rna	4	ENSP00000345676
rna	1	ENSP00000279463
rna	1	ENSP00000294244
rna	8	ENSP00000357683
rna	8	ENSP00000216277
rna	6	ENSP00000310520
rna	5	ENSP00000308021
rna	7	ENSP00000267890
rna	1	ENSP00000319610
rna	4	ENSP00000346127
rna	1	ENSP00000249499
rna	1	ENSP00000389770
rna	7	ENSP00000295834
rna	2	ENSP00000307006
rna	3	ENSP00000286639
rna	4	ENSP00000161559
rna	6	ENSP00000364000
rna	8	ENSP00000261427
rna	7	ENSP00000370842
rna	8	ENSP00000351684
rna	4	ENSP00000315680
rna	1	ENSP00000337451
rna	8	ENSP00000275780
rna	5	ENSP00000367408
rna	7	ENSP00000328720
rna	8	ENSP00000362556
rna	3	ENSP00000243167
rna	8	ENSP00000339720
rna	7	ENSP00000259997
rna	2	ENSP00000302676
rna	6	ENSP00000299608
rna	8	ENSP00000330343
rna	6	ENSP00000253115
rna	8	ENSP00000376097
rna	8	ENSP00000316114
rna	8	ENSP00000346291
rna	8	ENSP00000356202
rna	7	ENSP00000332595
rna	7	ENSP00000355800
rna	8	ENSP00000290795
rna	3	ENSP00000261296
rna	2	ENSP00000267857
rna	3	ENSP00000367815
rna	2	ENSP00000317300
rna	7	ENSP00000308219
rna	2	ENSP00000322408
rna	1	ENSP00000291525
rna	7	ENSP00000272321
rna	8	ENSP00000240327
rna	7	ENSP00000246006
rna	8	ENSP00000326128
rna	6	ENSP00000296861
rna	8	ENSP00000351280
rna	2	ENSP00000310521
rna	8	ENSP00000337196
rna	3	ENSP00000420298
rna	7	ENSP00000367034
rna	4	ENSP00000333833
rna	3	ENSP00000358854
rna	4	ENSP00000330074
rna	3	ENSP00000324105
rna	8	ENSP00000364561
rna	5	ENSP00000278590
rna	5	ENSP00000232003
rna	1	ENSP00000314036
rna	6	ENSP00000339750
rna	8	ENSP00000305255
rna	7	ENSP00000331540
rna	8	ENSP00000262367
rna	3	ENSP00000369843
rna	1	ENSP00000362525
rna	3	ENSP00000313890
rna	8	ENSP00000217121
rna	1	ENSP00000292253
rna	2	ENSP00000263468
rna	5	ENSP00000265140
rna	3	ENSP00000340969
rna	3	ENSP00000357025
rna	1	ENSP00000299267
rna	6	ENSP00000249700
rna	2	ENSP00000406144
rna	5	ENSP00000356975
rna	7	ENSP00000320337
rna	3	ENSP00000295868
rna	1	ENSP00000369460
rna	7	ENSP00000188312
rna	8	ENSP00000352581
rna	8	ENSP00000240343
rna	5	ENSP00000238628
rna	1	ENSP00000273283
rna	7	ENSP00000237889
rna	7	ENSP00000303366
rna	6	ENSP00000261797
rna	8	ENSP00000265981
rna	8	ENSP00000400718
rna	2	ENSP00000336528
rna	8	ENSP00000276893
rna	2	ENSP00000411932
rna	5	ENSP00000348258
rna	2	ENSP00000358583
rna	8	ENSP00000378394
rna	1	ENSP00000412696
