ENSP00000248121	nervous system
ENSP00000418111	nervous system
ENSP00000363603	kidney
ENSP00000363603	spleen
ENSP00000363603	intestine
ENSP00000363603	lung
ENSP00000256404	muscle
ENSP00000256404	lung
ENSP00000352918	kidney
ENSP00000352918	liver
ENSP00000352918	intestine
ENSP00000352918	nervous system
ENSP00000352918	heart
ENSP00000352918	spleen
ENSP00000352918	lung
ENSP00000305302	kidney
ENSP00000299155	kidney
ENSP00000299155	intestine
ENSP00000254770	nervous system
ENSP00000336552	heart
ENSP00000336552	nervous system
ENSP00000336552	muscle
ENSP00000351490	kidney
ENSP00000351490	intestine
ENSP00000351490	nervous system
ENSP00000351490	lung
ENSP00000217456	liver
ENSP00000217456	nervous system
ENSP00000217456	lung
ENSP00000217456	thyroid gland
ENSP00000261714	kidney
ENSP00000303552	liver
ENSP00000303552	heart
ENSP00000303552	muscle
ENSP00000380531	nervous system
ENSP00000380531	liver
ENSP00000350719	heart
ENSP00000350719	kidney
ENSP00000243077	liver
ENSP00000243077	intestine
ENSP00000243077	heart
ENSP00000243077	lung
ENSP00000243077	nervous system
ENSP00000294072	spleen
ENSP00000294072	lymph node
ENSP00000282957	pancreas
ENSP00000272227	intestine
ENSP00000272227	liver
ENSP00000272227	kidney
ENSP00000272227	pancreas
ENSP00000272227	lung
ENSP00000272227	heart
ENSP00000272227	spleen
ENSP00000272227	nervous system
ENSP00000339260	kidney
ENSP00000355568	kidney
ENSP00000355568	intestine
ENSP00000355568	nervous system
ENSP00000219865	nervous system
ENSP00000312458	nervous system
ENSP00000292433	nervous system
ENSP00000292433	lung
ENSP00000292433	kidney
ENSP00000292433	intestine
ENSP00000378160	nervous system
ENSP00000378160	lung
ENSP00000378160	heart
ENSP00000378160	spleen
ENSP00000378160	kidney
ENSP00000378160	skin
ENSP00000378160	pancreas
ENSP00000378160	intestine
ENSP00000378160	muscle
ENSP00000378160	liver
ENSP00000358953	nervous system
ENSP00000081029	liver
ENSP00000081029	kidney
ENSP00000352842	muscle
ENSP00000352842	heart
ENSP00000352842	kidney
ENSP00000352842	nervous system
ENSP00000338348	kidney
ENSP00000338348	muscle
ENSP00000338348	intestine
ENSP00000338348	nervous system
ENSP00000338348	heart
ENSP00000338348	lung
ENSP00000378130	kidney
ENSP00000378130	liver
ENSP00000378130	lung
ENSP00000376465	stomach
ENSP00000300283	nervous system
ENSP00000300283	intestine
ENSP00000300283	stomach
ENSP00000317301	nervous system
ENSP00000369014	kidney
ENSP00000357307	nervous system
ENSP00000381992	spleen
ENSP00000381992	heart
ENSP00000381992	lung
ENSP00000381992	nervous system
ENSP00000381992	liver
ENSP00000381992	muscle
ENSP00000381992	intestine
ENSP00000381992	kidney
ENSP00000216774	nervous system
ENSP00000216774	lung
ENSP00000216774	kidney
ENSP00000216774	liver
ENSP00000394863	intestine
ENSP00000394863	kidney
ENSP00000394863	spleen
ENSP00000394863	lung
ENSP00000394863	nervous system
ENSP00000254630	heart
ENSP00000305974	nervous system
ENSP00000344547	kidney
ENSP00000344547	stomach
ENSP00000344547	intestine
ENSP00000344547	muscle
ENSP00000344547	liver
ENSP00000344547	nervous system
ENSP00000344547	lung
ENSP00000344547	heart
ENSP00000379364	kidney
ENSP00000379364	spleen
ENSP00000379364	intestine
